Entry Number,Title,Artist,Residence.,Country,Category
1,Martin Luther Before Charles V.,"Van Pelt, A.",Holland,Holland,Religious
2,Portrait Of An Old Woman,"Smith, Caroline",Dublin,UK,Portrait
3,"Landscape, With Canal Scene,","Hoguet, Ch.",,,Landscape
4,Colored Lithograph From The Chandos Portait Of Shak-Spearespeare,,England,UK,Portrait
5,"Oil Portrait Of Shakespeare,  (Probably An Early Copy From The ""Chandos."")",Unknown,England,UK,Portrait
6,"Interior Scene, Family Group .","Plumot, A.",Antwerp,Belgium,Genre
7,The Sailor's Wedding,"Woodville, R. C.",United States,USA,Genre
8,Royal Family Of England And The Duke Of Wellington,"Winterhalter, H.",London,UK,Portrait
9,Mountain Landscape,"De Vries, G.",Holland,,Landscape
10,Marine View,"K., H.",Holland,,Maritime
11,Marine View,"Kannemans, C. C.",Holland,,Maritime
12,The Angel Of Death Bearing Off A Young Girl,"Vernet, Horace",Paris,France,Religious
13,"Interior Scene, ","Bell, Zephaniah",London,UK,Genre
14,"Westphalian Mill, ","Nocken, Theodore",Düsseldorf,Germany,Landscape
15,"Castle Of Kronenburg In Den-Mark, By Moonlight, . ","Larson, M.",Düsseldorf,Germany,Landscape
16,Deputation Of Workmen Before The City Council,"Happell, Fred",Düsseldorf,Germany,Genre
17,"The Faithful Watchman, . ","Hasenclever, J. P.",Düsseldorf,Germany,Genre
18,Forest Scene,"Jungheim, C.",Düsseldorf,Germany,Landscape
19,"Landscape In The Mountains, .","Jabin, Geo.",Düsseldorf,Germany,Landscape
20,"Ing A Lottery Prize And Feasting,  .","Hasenclever, J. P.",Düsseldorf,Germany,Genre
21,"Sunset On The Lake Of Geneva,","Portmann, William",Düsseldorf,Germany,Landscape
22,Portrait Of An Old Woman,"Verryt, G.",Cologne,,Portrait
23,Presentation Of A Ring,"Smith, Caroline",Dublin,UK,Genre
24,"Game, From Nature","Nussey, C. L.",England,UK,Still life
25,Landscape In The Environs Of Düsseldorf,"Scheuren, Caspar",Düsseldorf,Germany,Landscape
26,"Mill In The Woods, .  ","Zielke, J.",Düsseldorf,Germany,Landscape
27,"Jeronimus Jobs, A Night Watch-Man","Hasenclever, J. P.",Düsseldorf,Germany,Portrait
28,"The Intercepted Love Letter, .","Hubner, Ch.",Düsseldorf,Germany,Genre
29,"""La Belle Anglaise,"" . .","Cregan, Martin",Dublin,UK,Portrait
30,"All-Saints Night, ","Laloir, A.",France,France,Genre
31,"Mountain Bridge, ","Jungheim, C.",Düsseldorf,Germany,Landscape
32,"Scene In A Schoolroom Of The ""Jobsiade"" (A Comic Heroic Song Of 1800), ","Hasenclever, J. P.",Düsseldorf,Germany,Genre
33,"The Good Samaritan, ","Ulffers, Moritz",Düsseldorf,Germany,Religious
34,"Ophelia,","Burthe, Leopold",France,France,Literary
