Division,Court,country,class,product,person,agent,Role,Town-Country,Longitude,Latitude
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,"Pure alcohol and deodorized cologne spirit, 98 per cent, made expressly for medical and chemical purposes, perfumery, &c",Christian Paoli,Magunsson,manu.,"Springfield, Ohio",-73.986581,40.730599
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,"Alkaloids, resinoids, and allied principles","William Elmer, M.D. and AD Hendrickson",,manu.,"New York City, New York",-74.0059413,40.7127837
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,"Chemicals and acids for the use of dyers and printers on cotton, woollen and other fabrics.",Thomas G. Jones,,manu.,"New York City, New York",-74.008131,40.737137
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,Refined paints ground in oil,Sinclair & Co.,,manu.,"New York City, NY",-74.004833,40.706125
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,Fine chemicals for medicinal purposes,Louis Lerot,,manu.,"New York City, NY",-74.011247,40.708524
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,"A chart of chemistry, representing chemical composition to the eye by colored diagrams, the areas of which express proportional quantities",Youmans & Burdsall,,,"New York City, NY",-73.977754,40.679277
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,"Alcohol, coal-tar products and medicinal preparations","Philerice, Carpenter & Co",,manu.,"Boston, Massachusetts",-71.059568,42.360482
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,"12 Alkaloids, resinoids, and allied principles---active principles of indigenous and foreign medicinal plants","Hendrickson, manu",,,"New York City, NY",-73.074296,41.394341
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,13 Refined paints ground in oil,Sinclair <fc Co,,manu.,"New York City, NY",-73.986581,40.730599
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,"14 A chart of chemistry, representing chemical composition to the eye by co- lored diagrams, the areas of which express proportional quantities",Youmans & Burdsall,,manu.,"New York City, NY",-73.986581,40.730599
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,15 Fine chemicals for medicinal purposes,"Louis Lerot, manu",,manu.,"New York City, NY",-73.986581,40.730599
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,"16 Chemicals and acids for the use of dyers and printers on cotton, woollen and other fabrics",Thomas G Jones,,manu.,"New York City, NY",-73.986581,40.730599
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,17 Fine chemical colors,Wm Hardegg,,manu.,"New York City, NY",-73.986581,40.730599
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,18 Mtric (aqua-fortis) and chloro-hydric (muriatic) acids ; chlorid and oxy-chlorid of tin ; aqua ammonia and other chemicals,John D Perrin,,manu.,"Brooklyn, NY",-73.986581,40.730599
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,19 Wash-blue manufactured from ultramarine,"Augustus Bower, manu",,manu.,"New York City, NY",-73.949582,40.650104
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,21 Ultramarine blue and green,"Adolphus Gomm, manu",,manu.,"New York City, NY",-83.808817,39.924227
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,22 Veterinary medicine chest and medicines,"Charles Wilis, manu",,manu.,"New York City, NY",-73.986581,40.730599
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,"23 Mineral paint, crude and manufactured",Charles A Mott,,manu.,"New York City, NY",-73.986581,40.730599
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,"24 Cutch, sal-soda, nitrate of tin, indigo paste, nitrate of iron, Ac",Piepenbring & Co,,manu.,"New York City, NY",-73.986581,40.730599
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,"25 Fine carmine, lake carmine, lake yellow, chrome green, sap green, pink and blue, colors for daguerreotypes ; varnishes for paper, shoes, <fec","John Roux, manu",,manu.,"New York City, NY",-73.986581,40.730599
A,"10, 16, 22",USA,2. Chemical and Pharmaceutical,"26 Alcohol, coal-tar products and medicinal preparations","Philerice, Carpenter & Co",,manu.,"Boston, Massachusetts",-73.986581,40.730599
A,"10, 16, 22",USA,3. Substances used as Food,"Samples of white wheat family flour, manufactured by Welch <fc Lego, of Clark county, Virginia, and exhibited for its whiteness of color and economy in use. C. D. Kinks & Co., agents, Baltimore, Maryland.",Welch & Lego.,C.D. Kinks & Co.,manu.,"Berryville, Virginia",-77.9822193,39.1517713
A,"10, 16, 22",USA,3. Substances used as Food,"Specimens of fine manufactured cavendish tobacco, grown in Virginia.",Chas. M. Connolly,Chas. M. Connolly,agent,"New York City, New York",-73.992887,40.70366
A,"10, 16, 22",USA,3. Substances used as Food,"Choice specimens of tobacco, sugar, and cotton plants, with samples of fine manufactured tobacco.",David Nichols,David Nichols,agent,"New York City, New York",-73.989254,40.702436
A,"10, 16, 22",USA,3. Substances used as Food,"Pure vegetable extracts and samples of packed herbs for medicinal and family use, prepared by the Shakers.",Edward Fowler,Edward Fowler,agent,"New Lebanon, New York",-73.396804,42.4642991
A,"10, 16, 22",USA,3. Substances used as Food,Specimens of refined Louisiana sugar.,Haven & Co.,Haven & Co. ,agent,"New York City, New York",-73.939488,40.701161
A,"10, 16, 22",USA,3. Substances used as Food,"24 Alden's concentrated milk, cream coffee, and prepared cream for use at sea",Heron & Co,Heron & Co,agent,"New York City, NY",-73.986581,40.730599
A,"10, 16, 22",USA,3. Substances used as Food,"Alden's concentrated milk, cream coffee, and prepared cream for use at sea.",Heron & Co.,Heron & Co.,agent,"New York City, New York",-74.003612,40.70678
A,"10, 16, 22",USA,3. Substances used as Food,Samples of leaf tobacco.,M. N. Beery,M. N. Beery,agent,"Baltimore, Maryland",-76.6121893,39.2903848
A,"10, 16, 22",USA,3. Substances used as Food,Leaf tobacco.,Nathan E. Berry,Nathan E. Berry,agent,"Baltimore, Maryland",-76.6121893,39.2903848
